Project_ID,Donor,Sample_ID,Number_Of_Cells,Clone_ID,In_Vivo_Clone_ID
P8164,YFV2001,P8164_1036,20,C11 BULK,34
P8164,YFV2001,P8164_1037,20,D7 BULK,43
P8164,YFV2001,P8164_1038,20,D7 BULK,43
P8164,YFV2001,P8164_1039,20,D7 BULK,43
P8164,YFV2003,P8164_1040,20,B11 BULK,51
P8164,YFV2003,P8164_1041,20,B11 BULK,51
P8164,YFV2003,P8164_1042,20,B11 BULK,51
P8164,YFV2003,P8164_1043,20,F7 BULK,17
P8164,YFV2003,P8164_1044,20,F7 BULK,17
P8164,YFV2003,P8164_1045,20,F7 BULK,17
P8164,YFV2003,P8164_1046,20,D7 BULK,30
P8164,YFV2003,P8164_1047,20,D7 BULK,30
P8164,YFV2003,P8164_1048,20,D7 BULK,30
P8164,YFV2003,P8164_1049,20,G5 BULK,16
P8164,YFV2003,P8164_1050,20,G5 BULK,16
P8164,YFV2003,P8164_1051,20,G5 BULK,16
P8164,YFV2003,P8164_1052,20,C12 BULK,42
P8164,YFV2003,P8164_1053,20,C12 BULK,42
P8164,YFV2003,P8164_1054,20,C12 BULK,42
P8164,YFV2003,P8164_1055,20,C6 BULK,45
P8164,YFV2003,P8164_1056,20,C6 BULK,45
P8164,YFV2003,P8164_1057,20,C6 BULK,45
P8164,YFV2003,P8164_1058,20,D1 BULK,40
P8164,YFV2003,P8164_1059,20,H10 BULK,58
P8164,YFV2001,P8164_1061,20,E6 BULK,59
P8164,YFV2003,P8164_1062,20,H10 BULK,58
P8164,YFV2001,P8164_1064,20,E6 BULK,59
P8164,YFV2001,P8164_9998,20,E6 BULK,59
P8164,YFV2003,P8164_9999,20,H10 BULK,58
P9855,YFV2003,P9855_2001,25,P1_A03,
P9855,YFV2003,P9855_2002,25,P1_A03,
P9855,YFV2003,P9855_2003,25,P1_A03,
P9855,YFV2003,P9855_2004,25,P1_A05,
P9855,YFV2003,P9855_2005,25,P1_A05,
P9855,YFV2003,P9855_2006,25,P1_A05,
P9855,YFV2003,P9855_2007,25,P1_A12,
P9855,YFV2003,P9855_2008,25,P1_A12,
P9855,YFV2003,P9855_2009,25,P1_A12,
P9855,YFV2003,P9855_2010,25,P1_D09,
P9855,YFV2003,P9855_2011,25,P1_D09,
P9855,YFV2003,P9855_2012,25,P1_D09,
P9855,YFV2003,P9855_2013,25,P1_D12,
P9855,YFV2003,P9855_2014,25,P1_D12,
P9855,YFV2003,P9855_2015,25,P1_D12,
P9855,YFV2003,P9855_2016,3,P1_E09 (3),
P9855,YFV2003,P9855_2017,0,Negative P1_E09,
P9855,YFV2003,P9855_2018,0,Negative P1_E09,
P9855,YFV2003,P9855_2019,25,P1_F10,
P9855,YFV2003,P9855_2020,25,P1_F10,
P9855,YFV2003,P9855_2021,25,P1_F10,
P9855,YFV2003,P9855_2022,25,P1_H01,
P9855,YFV2003,P9855_2023,25,P1_H01,
P9855,YFV2003,P9855_2024,25,P1_H01,
P9855,YFV2003,P9855_2025,25,P1_H10,
P9855,YFV2003,P9855_2026,25,P1_H10,
P9855,YFV2003,P9855_2027,25,P1_H10,
P9855,YFV2003,P9855_2028,25,P1_A08,
P9855,YFV2003,P9855_2029,25,P1_A08,
P9855,YFV2003,P9855_2030,25,P1_A08,
P9855,YFV2003,P9855_2031,25,P1_B10,
P9855,YFV2003,P9855_2032,25,P1_B10,
P9855,YFV2003,P9855_2033,25,P1_B10,
P9855,YFV2003,P9855_2034,25,P1_C11,
P9855,YFV2003,P9855_2035,25,P1_C11,
P9855,YFV2003,P9855_2036,25,P1_C11,
P9855,YFV2003,P9855_2037,25,P1_F02,
P9855,YFV2003,P9855_2038,25,P1_F02,
P9855,YFV2003,P9855_2039,25,P1_F02,
P9855,YFV2003,P9855_2040,25,P1_F04,
P9855,YFV2003,P9855_2041,25,P1_F04,
P9855,YFV2003,P9855_2042,25,P1_F04,
P9855,YFV2003,P9855_2043,0,Negative,
P9855,YFV2003,P9855_2044,0,Negative,
P9855,YFV2003,P9855_2045,0,Negative,
P9855,YFV2003,P9855_2046,0,Negative,
P9855,YFV2003,P9855_2047,0,Negative,
P9855,YFV2003,P9855_2048,0,Negative,
P9855,YFV2003,P9855_2049,25,P2_A04,
P9855,YFV2003,P9855_2050,25,P2_A04,
P9855,YFV2003,P9855_2051,25,P2_A04,
P9855,YFV2003,P9855_2052,25,P2_B11,
P9855,YFV2003,P9855_2053,25,P2_B11,
P9855,YFV2003,P9855_2054,25,P2_B11,
P9855,YFV2003,P9855_2055,3,P2_C03 (3),
P9855,YFV2003,P9855_2056,0,Negative,
P9855,YFV2003,P9855_2057,0,Negative,
P9855,YFV2003,P9855_2058,25,P2_D12,
P9855,YFV2003,P9855_2059,25,P2_D12,
P9855,YFV2003,P9855_2060,25,P2_D12,
P9855,YFV2003,P9855_2061,25,P2_F01,
P9855,YFV2003,P9855_2062,25,P2_F01,
P9855,YFV2003,P9855_2063,25,P2_F01,
P9855,YFV2003,P9855_2064,25,P2_G01,
P9855,YFV2003,P9855_2065,25,P2_G01,
P9855,YFV2003,P9855_2066,25,P2_G01,
P9855,YFV2003,P9855_2067,25,P2_G09,
P9855,YFV2003,P9855_2068,25,P2_G09,
P9855,YFV2003,P9855_2069,25,P2_G09,
P9855,YFV2003,P9855_2070,25,P2_H01,
P9855,YFV2003,P9855_2071,25,P2_H01,
P9855,YFV2003,P9855_2072,25,P2_H01,
P9855,YFV2003,P9855_2073,25,P2_H04,
P9855,YFV2003,P9855_2074,25,P2_H04,
P9855,YFV2003,P9855_2075,25,P2_H04,
P9855,YFV2003,P9855_2076,25,P2_H05,
P9855,YFV2003,P9855_2077,25,P2_H05,
P9855,YFV2003,P9855_2078,25,P2_H05,
P9855,YFV2003,P9855_2079,25,P2_A05,
P9855,YFV2003,P9855_2080,25,P2_A05,
P9855,YFV2003,P9855_2081,25,P2_A05,
P9855,YFV2003,P9855_2082,25,P2_C12,
P9855,YFV2003,P9855_2083,20,P2_C12 (20),
P9855,YFV2003,P9855_2084,0,Negative P2_C12,
P9855,YFV2003,P9855_2085,1000,P1_A03_ATAC_wellA1_rep1_1000,
P9855,YFV2003,P9855_2086,705,P1_A05_ATAC_wellA3_705,
P9855,YFV2003,P9855_2087,410,P1_D09_ATAC_wellA5_410,
P9855,YFV2003,P9855_2088,1000,P1_F10_ATAC_wellA8_1000,
P9855,YFV2003,P9855_2089,1000,P1_H01_ATAC_wellA9_rep1_1000,
P9855,YFV2003,P9855_2090,1000,P1_H01_ATAC_wellA10_rep2_1000,
P9855,YFV2003,P9855_2091,1000,P1_H10_ATAC_wellA11_rep1_1000,
P9855,YFV2003,P9855_2092,350,P1_A08_ATAC_wellB1_350,
P9855,YFV2003,P9855_2093,1000,P1_A03_ATAC_wellA2_rep2_1000,
P9855,YFV2003,P9855_2094,506,P1_A12_ATAC_wellA4_506,
P9855,YFV2003,P9855_2095,1000,P1_D12_ATAC_wellA6_1000,
P9855,YFV2003,P9855_2096,1000,P1_H10_ATAC_wellA12_rep2_1000,
P9855,YFV2003,P9855_2097,269,P1_B10_ATAC_wellB2_269,
P9855,YFV2003,P9855_2098,500,P1_C11_wellB3_500,
P9855,YFV2003,P9855_2099,500,P1_F02_wellB4_500,
P9855,YFV2003,P9855_2100,500,P1_F04_wellB5_500,
P9855,YFV2003,P9855_2101,1000,P2_A04_wellC1_1000_rep1,
P9855,YFV2003,P9855_2102,1000,P2_A04_wellC2_1000_rep2,
P9855,YFV2003,P9855_2103,700,P2_B11_wellC3_700,
P9855,YFV2003,P9855_2104,1000,P2_H05_wellC5_1000,
P9855,YFV2003,P9855_2105,1000,P2_F01_wellC6_1000,
P9855,YFV2003,P9855_2106,1000,P2_D12_wellC7_1000,
P9855,YFV2003,P9855_2107,1000,P2_G01_wellC8_1000,
P9855,YFV2003,P9855_2108,918,P2_G09_wellC9_918,
P9855,YFV2003,P9855_2109,1000,P2_H01_wellC10_1000,
P9855,YFV2003,P9855_2110,1000,P2_H04_wellC11_1000_rep1,
P9855,YFV2003,P9855_2111,1000,P2_H04_wellC12_1000_rep2,
P9855,YFV2003,P9855_2112,1000,P2_H05_wellD1_1000,
P9855,YFV2003,P9855_2113,1000,P2_A05_wellD2_1000,
